"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Wind"
"3/9/1979","-46.5625","-23.573299407959","666","28.096","14.867","1.29509483563284",
"3/10/1979","-46.5625","-23.573299407959","666","26.95","16.982","2.17892580375836",
"3/11/1979","-46.5625","-23.573299407959","666","27.469","17.416","1.59620546190178",
"3/12/1979","-46.5625","-23.573299407959","666","24.205","18.155","1.1290368537791",
"3/13/1979","-46.5625","-23.573299407959","666","23.258","18.04","1.03980183732036",
"3/14/1979","-46.5625","-23.573299407959","666","20.398","17.672","2.42249835261245",
"3/15/1979","-46.5625","-23.573299407959","666","20.55","16.419","1.64149703740787",
"3/16/1979","-46.5625","-23.573299407959","666","22.422","15.003","1.91601562619377",
"3/17/1979","-46.5625","-23.573299407959","666","19.131","16.416","2.1531113522425",
"3/18/1979","-46.5625","-23.573299407959","666","21.962","15.935","2.58404797055757",
"3/19/1979","-46.5625","-23.573299407959","666","21.215","16.034","3.08780493666447",
"3/20/1979","-46.5625","-23.573299407959","666","21.779","13.426","2.83040452673072",
"3/21/1979","-46.5625","-23.573299407959","666","23.312","14.291","1.99958190749689",
"3/22/1979","-46.5625","-23.573299407959","666","26.058","14.72","1.81411091101055",
"3/23/1979","-46.5625","-23.573299407959","666","26.513","16.103","3.06975074600479",
"3/24/1979","-46.5625","-23.573299407959","666","24.144","17.53","2.47565973257517",
"3/25/1979","-46.5625","-23.573299407959","666","17.752","14.809","2.77825313057877",
"3/26/1979","-46.5625","-23.573299407959","666","16.049","14.108","2.74952197068169",
"3/27/1979","-46.5625","-23.573299407959","666","19.348","12.826","2.76437026346919",
"3/28/1979","-46.5625","-23.573299407959","666","23.452","13.507","1.11500668734031",
"3/29/1979","-46.5625","-23.573299407959","666","24.829","15.048","1.53997968534778",
"3/30/1979","-46.5625","-23.573299407959","666","22.283","11.908","1.82559078765731",
"3/31/1979","-46.5625","-23.573299407959","666","21.273","12.945","1.96171679532852",
"4/1/1979","-46.5625","-23.573299407959","666","25.446","13.219","1.53128793062621",
"4/2/1979","-46.5625","-23.573299407959","666","26.313","15.689","2.31028350323427",
"4/3/1979","-46.5625","-23.573299407959","666","26.907","17.033","2.91556290649379",
"4/4/1979","-46.5625","-23.573299407959","666","22.557","18.973","1.56179737738278",
"4/5/1979","-46.5625","-23.573299407959","666","25.133","18.933","1.32499711377148",
"4/6/1979","-46.5625","-23.573299407959","666","25.385","17.858","2.97371526706888",
"4/7/1979","-46.5625","-23.573299407959","666","17.385","9.25400000000002","2.42750721626434",
"4/8/1979","-46.5625","-23.573299407959","666","15.791","9.32299999999998","2.06580666927112",
"4/9/1979","-46.5625","-23.573299407959","666","19.745","13.986","2.31256108994631",
"4/10/1979","-46.5625","-23.573299407959","666","22.938","12.682","1.21327761981661",
"4/11/1979","-46.5625","-23.573299407959","666","23.696","13.997","1.74022301566681",
"4/12/1979","-46.5625","-23.573299407959","666","22.806","14.3","2.11666724689229",
"4/13/1979","-46.5625","-23.573299407959","666","20.871","15.951","2.80772024756482",
"4/14/1979","-46.5625","-23.573299407959","666","22.383","15.569","2.44292372704757",
"4/15/1979","-46.5625","-23.573299407959","666","23.188","14.121","1.78596545255331",
"4/16/1979","-46.5625","-23.573299407959","666","26.296","14.74","1.71254514093897",
"4/17/1979","-46.5625","-23.573299407959","666","27.194","15.659","1.77947035428498",
"4/18/1979","-46.5625","-23.573299407959","666","24.238","17.029","2.07531369568032",
"4/19/1979","-46.5625","-23.573299407959","666","19.069","16.947","1.41693875632546",
"4/20/1979","-46.5625","-23.573299407959","666","22.85","14.543","1.5676762684103",
"4/21/1979","-46.5625","-23.573299407959","666","23.059","14.599","1.48850270542689",
"4/22/1979","-46.5625","-23.573299407959","666","16.769","10.592","2.02079953742143",
"4/23/1979","-46.5625","-23.573299407959","666","15.83","12.924","3.37795963787978",
"4/24/1979","-46.5625","-23.573299407959","666","15.223","12.185","2.75085004242069",
"4/25/1979","-46.5625","-23.573299407959","666","14.923","12.764","2.62135807556866",
"4/26/1979","-46.5625","-23.573299407959","666","19.411","10.388","2.02942019593889",
"4/27/1979","-46.5625","-23.573299407959","666","19.512","8.24599999999998","2.0097184087873",
"4/28/1979","-46.5625","-23.573299407959","666","20.94","12.998","1.94244148033674",
"4/29/1979","-46.5625","-23.573299407959","666","23.297","11.779","1.50257456833083",
"4/30/1979","-46.5625","-23.573299407959","666","20.62","14.373","4.02289805911785",
"5/1/1979","-46.5625","-23.573299407959","666","21.124","13.268","3.78900617609686",
"5/2/1979","-46.5625","-23.573299407959","666","23.199","12.041","2.73721510343008",
"5/3/1979","-46.5625","-23.573299407959","666","25.309","14.427","1.52748004032597",
"5/4/1979","-46.5625","-23.573299407959","666","21.42","17.766","5.5654089741415",
"5/5/1979","-46.5625","-23.573299407959","666","18.828","16.87","1.3884034072963",
"5/6/1979","-46.5625","-23.573299407959","666","24.22","16.241","1.71951139405614",
"5/7/1979","-46.5625","-23.573299407959","666","24.953","16.666","1.54705525294805",
"5/8/1979","-46.5625","-23.573299407959","666","19.49","17.491","1.43276549233572",
"5/9/1979","-46.5625","-23.573299407959","666","22.159","17.902","3.30195018034515",
"5/10/1979","-46.5625","-23.573299407959","666","19.697","16.664","1.27924287997228",
"5/11/1979","-46.5625","-23.573299407959","666","24.397","15.117","1.35669548898124",
"5/12/1979","-46.5625","-23.573299407959","666","25.335","15.477","1.84463879554019",
"5/13/1979","-46.5625","-23.573299407959","666","24.431","15.043","2.33378548950775",
"5/14/1979","-46.5625","-23.573299407959","666","22.501","15.445","2.45128591839678",
"5/15/1979","-46.5625","-23.573299407959","666","18.861","13.887","2.39261978915627",
"5/16/1979","-46.5625","-23.573299407959","666","21.81","12.724","1.45503003397138",
"5/17/1979","-46.5625","-23.573299407959","666","24.49","11.608","1.57894708294594",
"5/18/1979","-46.5625","-23.573299407959","666","23.775","12.7","1.98766336699398",
"5/19/1979","-46.5625","-23.573299407959","666","23.452","14.018","2.82427626648625",
"5/20/1979","-46.5625","-23.573299407959","666","24.722","14.065","1.75314356186263",
"5/21/1979","-46.5625","-23.573299407959","666","24.942","14.284","1.9565003198399",
"5/22/1979","-46.5625","-23.573299407959","666","23.551","15.79","3.99468937870428",
