"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"3/21/1979","18.4375","-33.8768005371094","-9999","19.243","14.757",
"3/22/1979","18.4375","-33.8768005371094","-9999","25.045","13.18",
"3/23/1979","18.4375","-33.8768005371094","-9999","24.793","15.467",
"3/24/1979","18.4375","-33.8768005371094","-9999","23.546","17.443",
"3/25/1979","18.4375","-33.8768005371094","-9999","23.297","15.792",
"3/26/1979","18.4375","-33.8768005371094","-9999","22.285","15.607",
"3/27/1979","18.4375","-33.8768005371094","-9999","21.747","16.149",
"3/28/1979","18.4375","-33.8768005371094","-9999","19.318","14.814",
"3/29/1979","18.4375","-33.8768005371094","-9999","18.608","13.542",
"3/30/1979","18.4375","-33.8768005371094","-9999","22.983","13.87",
"3/31/1979","18.4375","-33.8768005371094","-9999","22.334","14.414",
"4/1/1979","18.4375","-33.8768005371094","-9999","23.42","17.607",
"4/2/1979","18.4375","-33.8768005371094","-9999","23.471","16.966",
"4/3/1979","18.4375","-33.8768005371094","-9999","25.663","16.636",
"4/4/1979","18.4375","-33.8768005371094","-9999","24.261","15.888",
"4/5/1979","18.4375","-33.8768005371094","-9999","24.909","15.584",
"4/6/1979","18.4375","-33.8768005371094","-9999","23.475","15.213",
"4/7/1979","18.4375","-33.8768005371094","-9999","21.337","15.682",
"4/8/1979","18.4375","-33.8768005371094","-9999","22.46","12.73",
"4/9/1979","18.4375","-33.8768005371094","-9999","23.715","14.169",
"4/10/1979","18.4375","-33.8768005371094","-9999","23.289","17.362",
"4/11/1979","18.4375","-33.8768005371094","-9999","20.48","17.47",
"4/12/1979","18.4375","-33.8768005371094","-9999","21.479","15.659",
"4/13/1979","18.4375","-33.8768005371094","-9999","21.241","14.487",
"4/14/1979","18.4375","-33.8768005371094","-9999","24.766","16.121",
"4/15/1979","18.4375","-33.8768005371094","-9999","23.576","15.827",
"4/16/1979","18.4375","-33.8768005371094","-9999","23.09","13.855",
"4/17/1979","18.4375","-33.8768005371094","-9999","21.127","15.961",
"4/18/1979","18.4375","-33.8768005371094","-9999","22.722","14.092",
"4/19/1979","18.4375","-33.8768005371094","-9999","20.102","14.5",
