"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Solar"
"1/31/2011","-74.0625","40.7458992004395","22","-3.178","-16.537","11.971685886984",
"2/1/2011","-74.0625","40.7458992004395","22","-3.99400000000003","-6.22399999999999","2.858819502816",
"2/2/2011","-74.0625","40.7458992004395","22","0.750999999999976","-5.52699999999999","2.577708852444",
"2/3/2011","-74.0625","40.7458992004395","22","-3.25099999999998","-14.426","12.770457652152",
"2/4/2011","-74.0625","40.7458992004395","22","-2.26499999999999","-15.983","12.943681091424",
"2/5/2011","-74.0625","40.7458992004395","22","0.925999999999988","-12.545","1.485638072712",
"2/6/2011","-74.0625","40.7458992004395","22","1.23000000000002","-2.56599999999997","11.026681188516",
"2/7/2011","-74.0625","40.7458992004395","22","1.41699999999997","-10.037","8.67425652207",
"2/8/2011","-74.0625","40.7458992004395","22","0.944999999999993","-11.109","12.6414667629",
"2/9/2011","-74.0625","40.7458992004395","22","-4.77800000000002","-14.132","12.296496299778",
"2/10/2011","-74.0625","40.7458992004395","22","-5.05000000000001","-12.009","14.10421889862",
"2/11/2011","-74.0625","40.7458992004395","22","-0.242999999999995","-15.056","14.327407086354",
"2/12/2011","-74.0625","40.7458992004395","22","1.00799999999998","-8.86700000000002","11.581450059744",
"2/13/2011","-74.0625","40.7458992004395","22","5.21600000000001","-8.89400000000001","10.7696365083792",
"2/14/2011","-74.0625","40.7458992004395","22","9.63999999999999","-1.327","11.697274687608",
"2/15/2011","-74.0625","40.7458992004395","22","0.218000000000018","-6.88099999999997","15.0124004170668",
"2/16/2011","-74.0625","40.7458992004395","22","6.04000000000002","-7.01100000000002","13.8634972972164",
"2/17/2011","-74.0625","40.7458992004395","22","12.717","1.92000000000002","12.0331493466372",
"2/18/2011","-74.0625","40.7458992004395","22","17.253","5.43200000000002","11.0595976038",
"2/19/2011","-74.0625","40.7458992004395","22","4.39800000000002","-6.24700000000001","8.8938778528332",
"2/20/2011","-74.0625","40.7458992004395","22","3.339","-7.84800000000001","15.2855473502196",
"2/21/2011","-74.0625","40.7458992004395","22","0.156000000000006","-6.37900000000002","7.6609201756068",
"2/22/2011","-74.0625","40.7458992004395","22","-0.398000000000025","-11.156","16.0464762603936",
"2/23/2011","-74.0625","40.7458992004395","22","2.541","-13.339","16.950704861538",
"2/24/2011","-74.0625","40.7458992004395","22","7.25299999999999","-9.88200000000001","14.476435928568",
"2/25/2011","-74.0625","40.7458992004395","22","9.22199999999998","-2.22699999999998","3.2337625304448",
"2/26/2011","-74.0625","40.7458992004395","22","4.803","-3.83499999999998","14.839802175888",
"2/27/2011","-74.0625","40.7458992004395","22","8.03800000000001","-0.954000000000008","15.6647022563808",
"2/28/2011","-74.0625","40.7458992004395","22","14.824","1.60700000000003","3.5903530077048",
"3/1/2011","-74.0625","40.7458992004395","22","6.55399999999997","-2.36399999999998","17.6597705318256",
"3/2/2011","-74.0625","40.7458992004395","22","10.181","-6.25799999999998","16.471757812896",
"3/3/2011","-74.0625","40.7458992004395","22","1.06900000000002","-7.31400000000002","18.2396692614373",
"3/4/2011","-74.0625","40.7458992004395","22","5.56999999999999","-5.98000000000002","17.1094985075772",
"3/5/2011","-74.0625","40.7458992004395","22","12.022","1.35700000000003","3.3105589443576",
"3/6/2011","-74.0625","40.7458992004395","22","11.293","7.10500000000002","0.9442676750616",
"3/7/2011","-74.0625","40.7458992004395","22","4.64100000000002","-3.19799999999998","16.53353551674",
"3/8/2011","-74.0625","40.7458992004395","22","8.38099999999997","-3.57400000000001","18.1621737682416",
"3/9/2011","-74.0625","40.7458992004395","22","5.15800000000002","-1.88","10.246648137876",
"3/10/2011","-74.0625","40.7458992004395","22","11.681","2.39699999999999","0.747063701532",
"3/11/2011","-74.0625","40.7458992004395","22","11.826","1.50099999999998","12.3156999145872",
"3/12/2011","-74.0625","40.7458992004395","22","11.375","0.00900000000001455","17.111262984912",
"3/13/2011","-74.0625","40.7458992004395","22","8.09500000000003","2.01299999999998","15.35487458814",
"3/14/2011","-74.0625","40.7458992004395","22","6.46800000000002","-1.43000000000001","12.6245317760244",
"3/15/2011","-74.0625","40.7458992004395","22","7.12099999999998","-1.87599999999998","11.7559855778544",
"3/16/2011","-74.0625","40.7458992004395","22","11.252","1.42899999999997","9.040534356168",
"3/17/2011","-74.0625","40.7458992004395","22","15.302","2.47800000000001","20.58314506542",
"3/18/2011","-74.0625","40.7458992004395","22","20.932","7.81799999999998","18.0649705833029",
"3/19/2011","-74.0625","40.7458992004395","22","9.95400000000001","-0.927999999999997","20.8001286614844",
"3/20/2011","-74.0625","40.7458992004395","22","8.88","-2.416","21.5200198291014",
"3/21/2011","-74.0625","40.7458992004395","22","6.19999999999999","0.709000000000003","1.9337354424108",
"3/22/2011","-74.0625","40.7458992004395","22","8.93900000000002","2.65899999999999","19.668251029892",
"3/23/2011","-74.0625","40.7458992004395","22","2.95100000000002","-0.418000000000006","1.62201336884568",
"3/24/2011","-74.0625","40.7458992004395","22","2.21699999999998","-4.18200000000002","13.5047564840952",
"3/25/2011","-74.0625","40.7458992004395","22","2.84800000000001","-6.29000000000002","21.4602885455184",
"3/26/2011","-74.0625","40.7458992004395","22","1.93799999999999","-7.11500000000001","23.44438131354",
"3/27/2011","-74.0625","40.7458992004395","22","4.03199999999998","-4.90199999999999","22.855763726064",
"3/28/2011","-74.0625","40.7458992004395","22","5.09399999999999","-6.70600000000002","22.3297055665488",
"3/29/2011","-74.0625","40.7458992004395","22","7.05200000000002","-4.08999999999998","23.5268468532",
"3/30/2011","-74.0625","40.7458992004395","22","10.68","-2.91300000000001","19.664499919896",
"3/31/2011","-74.0625","40.7458992004395","22","3.63900000000001","1.55500000000001","2.833426153188",
"4/1/2011","-74.0625","40.7458992004395","22","4.96100000000001","1.15800000000002","7.486522714836",
"4/2/2011","-74.0625","40.7458992004395","22","9.85199999999998","-0.391999999999996","21.3606496100556",
"4/3/2011","-74.0625","40.7458992004395","22","11.562","0.949999999999989","23.711882857668",
"4/4/2011","-74.0625","40.7458992004395","22","14.142","4.60199999999998","6.6798403707564",
"4/5/2011","-74.0625","40.7458992004395","22","17.998","0.887","4.9081927158648",
"4/6/2011","-74.0625","40.7458992004395","22","10.197","-0.494000000000028","15.712686501876",
"4/7/2011","-74.0625","40.7458992004395","22","8.93900000000002","2.25200000000001","11.749391623548",
